latitude,longitude,name,desc,color,source,precision
47.6503122,-122.3072545,"1959 NE Pacific Street, Seattle, WA, 98195,","1959 NE Pacific St, Seattle, WA 98195",,Bing Maps,address
47.8761063,-122.2434082,"728 134th St SW , Everett, WA, 98204,","728 134th St SW, Everett, WA 98204",,Bing Maps,address
37.2512856,-79.9412537,"1906 Belleview Avenue, Roanoke, VA, 24014,","1906 Belleview Ave SE, Roanoke, VA 24014",,Bing Maps,address
26.4154899,50.09848,"6830 Ammar Bin Thabit St, Al Muraikabat, Dammam, 32253, Saudi Arabia","Amer Bin Thabit Street, Al Murykabat, 32253 Dammam, Saudi Arabia",,Bing Maps,street
44.1916995,-88.4566623,"333 N Commercial St, Neenah, WI, 54956,","333 N Commercial St, Neenah, WI 54956",,Bing Maps,address
42.9903679,-87.9516296,"2900 W. Oklahoma Avenue, Milwaukee, WI, 53215,","2900 W Oklahoma Ave, Milwaukee, WI 53215",,Bing Maps,address
39.9429016,32.8605003,", Ankara, , , Turkey","Ankara, Turkey",,Bing Maps,city/town
42.1716468,-72.5863695,"444 Montgomery St, Chicopee, MA, 01020,","444 Montgomery St, Chicopee, MA 01020",,Bing Maps,address
38.0341369,-84.50857,"740 S Limestone St, Lexington, KY, 40536,","740 S Limestone, Lexington, KY 40508",,Bing Maps,address
34.4311028,-119.7221375,"2320 Bath Street , Santa Barbara, CA, 93105,","2320 Bath St, Santa Barbara, CA 93105",,Bing Maps,address
34.7491875,-92.3532486,"9601 Baptist Health Dr, Little Rock, AR, 72205,","72205, AR",,Bing Maps,postcode
44.0221291,-92.466629,"200 1st St Sw, Rochester, MN, 55905,","200 1st St SW, Rochester, MN 55902",,Bing Maps,address
41.8979721,-87.6252289,"111 E. Chestnut Street , Chicago, IL, 60611,","111 E Chestnut St, Chicago, IL 60611",,Bing Maps,address
44.4722366,-88.0866928,"2941 S Ridge Rd, Green Bay, WI, 54304,","2941 S Ridge Rd, Green Bay, WI 54304",,Bing Maps,address
43.076085,-89.4290999,"600 Highland Ave, Madison, WI, 53792,","600 Highland Ave, Madison, WI 53705",,Bing Maps,address
43.5367289,-96.7428649,"1210 W 18th St, Sioux Falls, SD, 57104,","1210 W 18th St, Sioux Falls, SD 57104",,Bing Maps,address
44.88451,-93.3277435,"6545 France Ave S , Edina, MN, 55435,","6545 France Ave S, Edina, MN 55435",,Bing Maps,address
43.0111732,-88.2430801,"725 American Ave, Waukesha, WI, 53188,","725 American Ave, Waukesha, WI 53188",,Bing Maps,address
43.0081482,-88.2684174,"413 Rawlins Dr, Waukesha, WI, 53188,","413 Rawlins Dr, Waukesha, WI 53188",,Bing Maps,address
43.1777153,-87.9144745,"500 W Brown Deer Road, Bayside, WI, 53217,","500 W Brown Deer Rd, Bayside, Village of, WI 53217",,Bing Maps,address
39.0071766,-94.5595944,"2316 East Meyer Boulevard, Kansas City, MO, 64132,","2316 E Meyer Blvd, Kansas City, MO 64132",,Bing Maps,address
